2
36
 7894.500000  6.838   0.759
 7894.590000  7.482   0.430
 7897.500000  5.958   0.737
 7902.600000  7.143   0.634
 7907.500000  8.818   0.836
 7910.500000  9.038   0.836
 7911.630000  9.233   0.432
 7911.660000  8.337   0.287
 7916.500000  7.278   0.781
 7920.640000  10.578   0.439
 7923.500000  8.158   0.814
 7923.600000  9.097   0.307
 7928.500000  9.258   0.847
 7928.640000  7.316   0.428
 7931.500000  9.038   0.836
 7931.600000  9.281   0.298
 7934.500000  6.948   0.770
 7934.510000  7.542   0.324
 7939.450000  6.288   0.748
 7939.550000  5.958   0.737
 7939.560000  5.796   0.233
 7944.500000  4.968   0.704
 7944.610000  4.994   0.171
 7957.510000  3.264   0.273
 7964.500000  3.538   0.660
 7975.480000  5.440   0.194
 7982.640000  8.648   0.331
 7984.490000  7.062   0.255
 7995.460000  8.055   0.318
 8011.500000  8.378   0.814
 8014.400000  8.977   0.310
 8025.410000  4.267   0.997
 8030.500000  10.798   0.902
 8036.420000  11.867   0.424
 8039.500000  12.998   0.968
 8047.410000  13.141   0.457
18
 7894.580000  7.725   0.232
 7897.610000  8.678   0.260
 7902.580000  8.406   0.252
 7911.600000  8.978   0.269
 7911.680000  8.965   0.269
 7920.510000  11.355   0.341
 7928.620000  10.905   0.327
 7931.560000  10.533   0.316
 7934.470000  11.422   0.343
 7944.610000  10.480   0.314
 7957.480000  7.411   0.222
 7975.480000  7.998   0.240
 7982.580000  8.486   0.255
 7984.480000  8.443   0.253
 7995.440000  9.265   0.278
 8014.420000  8.916   0.267
 8032.400000  9.616   0.288
 8047.380000  10.344   0.310
