Tchar lag e_lag cent e_cent e_GP
10 30.79 1.373280743329637 32.46961 2.2810681879110932 0.51972
30 34.41 2.280767414709356 38.54733000000001 5.157062883182635 0.66389
50 37.21 2.923337134167047 42.515550000000005 5.48040015030837 0.7793000000000001
70 38.76 4.030186099921442 46.31683000000001 6.8315612652672595 0.93494
90 39.88 4.236224734359593 46.66546 6.468523685386025 0.9530200000000002
110 40.3 4.389760813529594 48.829679999999996 8.492532387786342 1.0420099999999999
130 40.66 4.377716299624725 50.03602 8.867653435920914 1.0841
